Twitter User,Texto,Fecha de Creado,Hora,Región,Número de palabras,Número de letras,App Username,Tag
b'Xavi Kastro',b'RT @Acerina56: #SEVILLA #ESPA\xc3\x91A #M\xc3\x81XIMADIFUSI\xc3\x93N POR FAVOR #URGENTE \xc2\xbfPueden ayudar? Gracias a todos https://t.co/rlvZvavS3T',b'2018-12-16',b'11',b'Barcelona',b'14',b'122',b'MasterBigData',b'#Espa\xc3\xb1a'
b'CaraotaDigital',b'#CaraotaDigital | Gaby Spanic estar\xc3\xa1 de gira por #Espa\xc3\xb1a con su obra Divinas / Por: @CaraotaShowVE https://t.co/yizIKsO9KB         \\|',b'2018-12-16',b'11',b'Caracas - Venezuela',b'18',b'133',b'MasterBigData',b'#Espa\xc3\xb1a'
b'V\xc3\xaddeo Recetas Cocina',b'Prepara tus propios Polvorones de almendra #Gastronom\xc3\xada #Recetas #Cocina #Cocinar #Ideas #BuenComer #Pornfood\xe2\x80\xa6 https://t.co/MrTMbDROH7',b'2018-12-16',b'11',b'World',b'14',b'134',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Cor',b'Toch leuk dat ze voor de pauzes een cliniclown hebben ingehuurd #Europa #Juncker https://t.co/AFDcDHtP2W',b'2018-12-16',b'11',b'Twente & Zuid-Holland',b'14',b'104',b'MasterBigData',b'#Espa\xc3\xb1a'
b'M\xc3\xa1s Raz\xc3\xb3n Q Un Santo - Jes\xc3\xbas Mu\xc3\xb1oz - AD\xc3\x91',"b'RT @SindicatoTNS: Gane quien gane, pierden #Andaluc\xc3\xada y #Espa\xc3\xb1a\n\nIntervenci\xc3\xb3n de Jes\xc3\xbas Mu\xc3\xb1oz @MasRazonqUnSant en el programa Sencillamente\xe2\x80\xa6'",b'2018-12-16',b'11',b'None',b'18',b'139',b'MasterBigData',b'#Espa\xc3\xb1a'
b'daniele 1992',b'RT @MauroLeonardi3: L\xe2\x80\x99#Europa o sar\xc3\xa0 #cristiana o non sar\xc3\xa0 https://t.co/McjL4LHfSv',b'2018-12-16',b'11',b'italia',b'10',b'82',b'MasterBigData',b'#Espa\xc3\xb1a'
b'Alegr\xc3\xada Alonso',b'RT @jesusmarana: Los #lobbies y los populistas de derechas ponen zancadillas en #Europa a la lucha contra el cambio clim\xc3\xa1tico. Informe de @\xe2\x80\xa6',b'2018-12-16',b'11',b'Hacia el norte me ir\xc3\xa9',b'23',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'NegociosOnlineHoy',b'Ibex: El asedio bajista pone en peligro los 8.700 puntos - https://t.co/EGP1Jtpobd https://t.co/L9HKa5bWlx #Espa\xc3\xb1a #Ibex35',b'2018-12-16',b'11',b'None',b'15',b'122',b'MasterBigData',b'#Espa\xc3\xb1a'
b'AntiKo',b'RT @AlexSanna8334: Ancora una volta ubriaco in pubblico: ormai per #Juncker \xc3\xa8 la prassi \xf0\x9f\xa4\x94\n#europe #ue #europa #eu #Brussels #bruxelles @Rin\xe2\x80\xa6',b'2018-12-16',b'11',b'None',b'22',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'c\xc3\xadrculo rojo',b'RT @jesusmarana: Los #lobbies y los populistas de derechas ponen zancadillas en #Europa a la lucha contra el cambio clim\xc3\xa1tico. Informe de @\xe2\x80\xa6',b'2018-12-16',b'11',b'None',b'23',b'140',b'MasterBigData',b'#Espa\xc3\xb1a'
b'dCIDElevante',b'\xf0\x9f\x87\xaa\xf0\x9f\x87\xa6\xe2\x81\x89\xc2\xbfPor qu\xc3\xa9 tenemos la impresi\xc3\xb3n de que todos los PRESIDENTES DE GOBIERNO DE #Espa\xc3\xb1a se arrodillan ante unos\xe2\x80\xa6 https://t.co/qiTwjpKwyy',b'2018-12-16',b'11',b'Ayuntamiento de Alicante',b'19',b'133',b'MasterBigData',b'#Espa\xc3\xb1a'
